"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"Riboflavin",753524.1,599200.2,821675.1,923796.5,709622.7,818422.9,789539.5,594744.2,699992.9,582178.2,671688.1,782965.8,725068.8,747282.7,640505.8,759821.2,831574.3,818775.3,726438.5,720729,870160.2,741272.2,827383.4,604414.9,713399.8,641260.8,830694.2,828383.8,780521.7,570365.8,758040.8,729199.9,837290.8,815894.2,654890.5,835203.8,690155.2,790470.7,764138.9
"p.cresol.glucuronide.",3599456,4746484,2528007,2662430,4035971,3833406,3289193,5908852,5525680,3393631,3201814,3176548,4155205,5229700,6268586,3788299,10900000,3964155,4136494,3422942,3025385,11600000,5606698,4717736,9908633,8258478,11500000,5936378,6175932,6096170,8410382,4285070,4131367,6662398,7727738,5396086,5783366,7448972,4084599
"O.succinyl.ADP.ribose",1754306,993603.3,2846976,1659550,779008.8,2439081,2404598,1872074,3323401,2801119,3212615,1510267,1124502,7588942,8546985,2900429,5571946,4200936,7707796,6256596,4977130,4652054,3603493,2159259,3442664,3459266,4460886,4364502,878782.8,3208368,4578464,4421590,4499890,4696782,6259470,5777776,2973730,5050585,5101000
"NAD.",2417469,1291316,1944076,1889269,1873768,1866545,1611202,3555551,2103252,2146454,1831838,2486915,2140860,2010537,1703067,2495010,2855463,2742827,1515680,2129695,2281877,1160264,1408716,1346035,1434389,1299290,1331275,1071191,1249234,1158912,2102699,1148287,1453487,1499315,1943972,2062491,1891754,1276550,1329569
"NADP.",1040243,434703.5,1085872,656448.3,451244,814114,375824.7,418071.8,256642,204512.5,208623.2,611194.2,404363.9,323988,95697.44,210056.2,205921.1,129259.8,90982.59,112657.4,102600.9,291951.8,882010.6,625971.1,221530.5,322320.8,302360.6,875667.8,332375,417406.1,706276.8,1011999,287242.2,928385.6,451447.4,517386.3,523392.4,377664.9,866475.7
"Phenol.sulphate",19800000,9047237,11900000,12500000,17600000,9966235,12800000,10500000,17400000,9831628,8104656,9088620,14700000,16700000,17200000,17200000,20600000,13200000,14100000,10200000,11500000,11900000,13200000,18300000,21900000,20500000,13900000,17600000,18400000,1.4e+07,20700000,15900000,11600000,1.7e+07,16200000,2.2e+07,18600000,14900000,1.8e+07
"O.myristoyl.ADP.ribose",1.81e+08,86100000,1.77e+08,1.47e+08,2.11e+08,9e+07,1.16e+08,20400000,1.22e+08,81200000,1.41e+08,99200000,58400000,1.04e+08,1.79e+08,41400000,1.22e+08,76300000,1.27e+08,1.06e+08,1.18e+08,1.74e+08,1.63e+08,1.91e+08,2.69e+08,1.85e+08,2.1e+08,1.96e+08,2.09e+08,1.5e+08,2.13e+08,1.71e+08,1.88e+08,1.63e+08,1.79e+08,2.53e+08,2.45e+08,1.76e+08,2.03e+08
"Ribose.5.phosphate",125605.7,255464.8,119096.1,102764.3,265439.3,171026.3,912328.1,263962,157354.1,154762.9,149185,132465.4,232496.9,636059.9,4011272,216301.8,885014.6,898396.3,656324.8,670324.7,413774.2,14200000,4515640,1029194,3850074,7922244,15100000,1462492,5264980,958356.3,2495574,515723.5,223917.1,1461926,1308389,384570.3,1403756,2960027,230911.4
"Propionyl.CoA",3.2e+08,2.36e+08,3.34e+08,2.94e+08,2.65e+08,2.97e+08,1.91e+08,2.32e+08,2.46e+08,2.37e+08,3.01e+08,2.43e+08,2.61e+08,2.54e+08,2.73e+08,2.16e+08,2.26e+08,3.06e+08,2.6e+08,2.56e+08,2.41e+08,2.15e+08,2.28e+08,2.83e+08,2.8e+08,2.25e+08,2.25e+08,2.46e+08,2.44e+08,2.31e+08,2.6e+08,2.44e+08,2.61e+08,2.42e+08,2.6e+08,3.08e+08,2.48e+08,2.36e+08,2.85e+08
"phenylpyruvate",3.2e+08,2.36e+08,3.34e+08,2.94e+08,2.65e+08,2.97e+08,1.91e+08,2.32e+08,2.46e+08,2.37e+08,3.01e+08,2.43e+08,2.61e+08,2.54e+08,2.73e+08,2.16e+08,2.26e+08,3.06e+08,2.6e+08,2.56e+08,2.41e+08,2.15e+08,2.28e+08,2.83e+08,2.8e+08,2.25e+08,2.25e+08,2.46e+08,2.44e+08,2.31e+08,2.6e+08,2.44e+08,2.61e+08,2.42e+08,2.6e+08,3.08e+08,2.48e+08,2.36e+08,2.85e+08
"Ribulose.5.phosphate",61700000,38800000,73400000,56600000,4.6e+07,61500000,39900000,40800000,46700000,42100000,57500000,41800000,41300000,39800000,46400000,34500000,42300000,52800000,38200000,46800000,40900000,40900000,41800000,43400000,46400000,40300000,41200000,42600000,41900000,40900000,48700000,39900000,51100000,49700000,45900000,55500000,42200000,42700000,57600000
"p.Hydroxyphenylacetic.acid",17500000,25100000,2962716,25500000,12500000,3.6e+07,28400000,3.9e+07,25700000,10600000,23400000,13500000,4531654,18800000,25500000,23200000,45400000,8438864,57300000,21500000,8782312,5930426,4314752,4932798,4784764,5430998,15800000,1623040,5430402,1486190,11400000,1963407,1537256,13100000,2083841,3409898,1131762,3869099,2159172
"Propionic.acid",226110.2,48738.92,224364.7,76278.21,52364.64,41870.68,49150.18,32714.86,31280.35,48442.68,58189.54,53872.58,53202.02,24007.71,15304.05,12929.59,11885.75,10497.58,60412.41,32194.46,59234.59,59490.39,106674,174658,163065.3,100965.5,73083.62,122847.2,81010.38,51911.57,141129.7,119367.6,116099.9,71194.04,211557.8,486403.2,131464.7,103627.4,113237.6
"UDP.N.acetylglucosamine",210046.8,143235.7,119547,145675.6,368375,115352.5,100966.7,122511.1,75060.54,34057.47,69289.48,62849.3,163378.9,111955.2,70499.88,62297.02,114290.9,275764.4,202238.6,141994,202534.4,20511.25,19112.48,291507.3,2996.276,37171.76,13499.23,24771.51,10222.86,58458.57,61014.81,139215.2,41296.87,26102.28,279007.3,186994.5,83481.79,39724.1,119738.8
"Trimethylamine",22227.75,16464.65,6503.305,6582.933,85492.99,8337.518,8351.103,21625.03,39590.85,34409.94,12866.48,11041,23604.01,5406.607,3350.33,58331.02,8172.076,15528.8,33784.85,38710.34,31388.87,5609.716,18705.18,139511.2,5572.393,10813.81,5694.883,41022.5,9605.971,12096.67,23806.53,80865.12,11908.64,8063.135,40658.08,108593.2,10003.2,8677.771,20054.79
"Shikimate.3.phosphate",365096.3,459178.9,116974.2,174756.7,1056917,176251.3,160309.1,260076.5,531140.2,667918.9,173868,172567.4,327775,145394.7,86083.7,428700.1,140895.8,149791.7,306314,241069.7,238095.1,162856.6,209844.9,1630045,105840.8,220645.5,124993.4,458671.5,340409.6,145581.9,201101.8,1223134,170892,114879.4,405597.9,1088814,241255.3,241647.7,226276.4
"Uridine",278801.2,61065.96,475952,186106.7,114402.314782609,55353.89,46790.33,114402.314782609,114402.314782609,114402.314782609,74493.05,89158.27,57340.22,18544.71,61158.09,114402.314782609,26194.87,114402.314782609,114402.314782609,114402.314782609,114402.314782609,114402.314782609,114402.314782609,114402.314782609,132071.8,86505.22,42947.07,114402.314782609,114402.314782609,39452.4,28092.96,114402.314782609,28345.8,114402.314782609,335039.2,299772.4,85269.97,83245.96,39551.17
"trans.Ferulic.acid",774102.8,1087176,256383.2,578242.7,16267.34,567936.1,634535.8,957825.5,882840.4,996083.5,683439,515598.8,1053304,568644.7,366592,509518.3,622836.8,1234190,1590630,1592694,1298550,368499.2,812323.2,5857484,224895.2,738931.9,366299.2,994897,592058.7,877847.2,1166437,2757206,418005,415845.1,2942576,3421680,1674209,1098910,1151774
"Urocanate",34600000,25800000,36200000,31700000,27900000,32400000,5.1e+07,31900000,27500000,21200000,36300000,25200000,23200000,25400000,29400000,22700000,19400000,28900000,1.2e+07,2.5e+07,23300000,19200000,33600000,21300000,4.3e+07,41300000,46600000,41300000,56400000,36500000,4.2e+07,38700000,42100000,28900000,18300000,27100000,2.5e+07,29100000,27400000
"UDP",2674872,2023260,2774097,2209612,2362277,2659359,1634928,2718032,2112482,1441884,2165975,1492965,2329976,1830742,1880184,1627528,2048026,2489879,2098893,2501484,2179634,1800885,1743215,2185174,2106422,1867701,2001403,1949612,1967230,1790016,2646556,2021574,2117901,2071170,2138399,3757623,2094556,1823067,2414363
"Sedheptulose.7.phosphate",74200000,59900000,7.4e+07,57100000,66900000,6.3e+07,49800000,59400000,54800000,4.1e+07,5e+07,41900000,50100000,54400000,59800000,50600000,59500000,80800000,6.5e+07,66800000,63300000,50100000,50600000,63800000,56200000,48100000,54800000,47500000,59300000,45600000,67200000,64700000,62900000,58100000,56400000,78500000,50600000,53600000,7.3e+07
"UTP",98100000,1.15e+08,1.1e+08,95500000,77900000,1.55e+08,1.18e+08,1.36e+08,95500000,1.04e+08,1.15e+08,1.1e+08,83100000,1.14e+08,1.16e+08,1.35e+08,1.03e+08,1.7e+08,1.35e+08,1.2e+08,1.39e+08,8.3e+07,8.3e+07,1.13e+08,82300000,81700000,88600000,69800000,79100000,66100000,85900000,65600000,64400000,73300000,8.8e+07,88300000,91100000,84200000,91200000
"Xanthosine",19900000,14100000,12400000,1.2e+07,19400000,16500000,9205231,10600000,10900000,6906122,7879180,7252520,10300000,10900000,11400000,16800000,1.1e+07,1.4e+07,12800000,10100000,14900000,12100000,14500000,2e+07,1.1e+07,6264292,8007630,15500000,11700000,10400000,1.3e+07,14900000,1.4e+07,12800000,17800000,24500000,16300000,9919609,17800000
"Lysine",4839126,4192108,5131597,4328553,4254725,3696765,4665052,866334.8,3991590,2555669,3702293,2523003,2378619,3291010,4546168,1285204,3163188,4285657,6683570,3639385,6345190,4959138,8262582,7113908,5356503,5224212,3096346,9957141,8253904,6666772,8267062,7430150,10400000,2878117,9030944,6515066,4200656,2476133,4971563
"Glutamine",43600000,34800000,38500000,32300000,46100000,34900000,22100000,19700000,25300000,19200000,17700000,17800000,24400000,25900000,27600000,25100000,26100000,28800000,23600000,20800000,33100000,27800000,32300000,42400000,25300000,17200000,20400000,30100000,28700000,26900000,28900000,38800000,34300000,31100000,40300000,41600000,24800000,2.4e+07,45100000
"X2.Hydroxyglutarate",251832.9,178869.5,254756.4,247825,162547.6,232689.4,331440.5,114086.1,165222.6,106046.6,140846.1,137114.5,147250.7,136989.4,105107.1,120536.7,161310.3,118612.3,92805.98,58149.43,150251.4,645069.1,667420.8,325968.4,509388.8,490213.8,453714.4,626689.3,259854.4,328104.4,345518.5,448419.1,388467,439312.6,428495,737402.3,424606.8,288765.5,405245.4
"X3.Hydroxyphenylacetic.acid",2096042,858037.6,525080.3,361788.4,1252729,444049.3,1031586,406793.5,335838.4,229187.9,282285,280190.2,721450.3,514685.3,706270.8,295101.4,380071.3,545969.4,583078.9,397489.4,240599.2,1276349,584961.2,1942009,1651045,1411986,1306257,1002981,1455767,1962345,1401943,1469370,1060965,1505218,3572886,3457006,2516134,1068702,889109.4
"D.Glutamic.acid",34814.39,4870.7,54680.98,52039.57,58364.42,16243.59,41022.0180833333,25871.06,37310.48,26617.14,43071.9,21790.28,17172.71,41406.35,16733.93,41399.26,18406.15,63299.86,46247.54,123574.1,163191.2,28056.91,23270.38,31782.02,30043.91,41022.0180833333,27619.65,27949.72,7257.751,11678.68,44672.95,45758.92,38716.32,27548.85,41022.0180833333,58342.86,46400.8,56074.68,64512.64
