"","01N","01R","04R","06N","06R","08N","08R","02N","02R","05N","05R","11N","11R","07N","07R","09N","09R","12N","12R","13N","13R","10N","14N","15N","15R","16N","16R","21N","21R","34N","34R","43N","43R","23N","23R","26N","26R","27N","27R"
"Threonine",589.87960701722,1531.45297739993,555.132077065354,674.732896776118,525.912616630155,589.87960701722,834.820868174203,502.219211253746,628.284256653045,725.678310941164,674.732896776118,725.678310941164,433.603104775728,589.87960701722,674.732896776118,589.87960701722,502.219211253746,1131.9750081377,555.132077065354,674.732896776118,897.003278044817,525.912616630155,555.132077065354,525.912616630155,555.132077065354,674.732896776118,589.87960701722,502.219211253746,674.732896776118,525.912616630155,502.219211253746,1206.53639893362,502.219211253746,589.87960701722,525.912616630155,348.88871914883,502.219211253746,725.678310941164,834.820868174203
"Cysteine",5.53138028797023,5.53138028797023,2.59595456905872,7.35437167502222,7.35437167502222,2.59595456905872,15.4937090221724,2.59595456905872,3.92719630428404,11.4393203393605,13.4133753750081,3.92719630428404,2.59595456905872,7.35437167502222,13.4133753750081,3.92719630428404,5.53138028797023,3.92719630428404,2.59595456905872,2.59595456905872,3.92719630428404,5.53138028797023,13.4133753750081,5.53138028797023,15.4937090221724,15.4937090221724,15.4937090221724,9.36855293191519,41.8670266395058,17.2062924089171,23.0045325868943,13.4133753750081,36.0672728058063,11.4393203393605,7.35437167502222,9.36855293191519,11.4393203393605,13.4133753750081,23.0045325868943
"Benzoic.acid",525.912616630155,555.132077065354,674.732896776118,628.284256653045,555.132077065354,628.284256653045,525.912616630155,628.284256653045,725.678310941164,773.053265818277,725.678310941164,674.732896776118,725.678310941164,674.732896776118,628.284256653045,674.732896776118,674.732896776118,525.912616630155,773.053265818277,589.87960701722,502.219211253746,589.87960701722,674.732896776118,555.132077065354,674.732896776118,555.132077065354,555.132077065354,628.284256653045,628.284256653045,725.678310941164,525.912616630155,525.912616630155,725.678310941164,555.132077065354,502.219211253746,628.284256653045,589.87960701722,525.912616630155,555.132077065354
"nicotinamide",98.0695532546108,117.084877237828,174.188788398358,187.255863942155,109.241082277615,162.565885792067,125.951016722903,150.086420503994,134.644308083989,162.565885792067,221.997684539329,187.255863942155,125.951016722903,125.951016722903,162.565885792067,117.084877237828,134.644308083989,125.951016722903,92.025377911753,125.951016722903,98.0695532546108,83.4934159055613,78.0223824335207,103.410786619769,103.410786619769,117.084877237828,117.084877237828,73.2092350769244,83.4934159055613,109.241082277615,103.410786619769,109.241082277615,109.241082277615,117.084877237828,78.0223824335207,73.2092350769244,92.025377911753,98.0695532546108,98.0695532546108
"Adenosine.5.phosphosulfate",66.874871669556,92.025377911753,56.7167152136174,78.0223824335207,103.410786619769,56.7167152136174,98.0695532546108,92.025377911753,78.0223824335207,98.0695532546108,73.2092350769244,83.4934159055613,87.760525569395,78.0223824335207,87.760525569395,73.2092350769244,174.188788398358,87.760525569395,98.0695532546108,83.4934159055613,87.760525569395,87.760525569395,73.2092350769244,78.0223824335207,302.470356902806,125.951016722903,109.241082277615,78.0223824335207,125.951016722903,87.760525569395,66.874871669556,87.760525569395,73.2092350769244,78.0223824335207,83.4934159055613,56.7167152136174,125.951016722903,78.0223824335207,73.2092350769244
"X3..3.Hydroxyphenyl.propanoic.acid",73.2092350769244,109.241082277615,73.2092350769244,92.025377911753,98.0695532546108,92.025377911753,83.4934159055613,87.760525569395,103.410786619769,134.644308083989,103.410786619769,125.951016722903,109.241082277615,103.410786619769,103.410786619769,98.0695532546108,87.760525569395,98.0695532546108,103.410786619769,98.0695532546108,66.874871669556,92.025377911753,83.4934159055613,98.0695532546108,98.0695532546108,87.760525569395,87.760525569395,87.760525569395,87.760525569395,98.0695532546108,78.0223824335207,98.0695532546108,83.4934159055613,92.025377911753,73.2092350769244,66.874871669556,98.0695532546108,87.760525569395,92.025377911753
"X3.indoxyl.sulfate",3.92719630428404,11.4393203393605,9.36855293191519,5.53138028797023,5.53138028797023,13.4133753750081,11.4393203393605,7.35437167502222,7.35437167502222,15.4937090221724,5.53138028797023,9.36855293191519,11.4393203393605,15.4937090221724,5.53138028797023,5.53138028797023,11.4393203393605,7.35437167502222,5.53138028797023,11.4393203393605,5.53138028797023,9.36855293191519,11.4393203393605,11.4393203393605,9.36855293191519,11.4393203393605,7.35437167502222,15.4937090221724,5.53138028797023,13.4133753750081,13.4133753750081,9.36855293191519,5.53138028797023,23.0045325868943,5.53138028797023,7.35437167502222,5.53138028797023,9.36855293191519,5.53138028797023
"X3..hexanoyl.ADP.ribose..second.hump.",200.69215113618,302.470356902806,373.357194911502,433.603104775728,252.867558174711,674.732896776118,174.188788398358,348.88871914883,897.003278044817,525.912616630155,628.284256653045,470.063165356097,221.997684539329,628.284256653045,433.603104775728,1206.53639893362,628.284256653045,433.603104775728,236.230642824948,236.230642824948,470.063165356097,134.644308083989,200.69215113618,373.357194911502,62.1205191988589,73.2092350769244,83.4934159055613,134.644308083989,66.874871669556,78.0223824335207,92.025377911753,150.086420503994,302.470356902806,125.951016722903,117.084877237828,83.4934159055613,83.4934159055613,103.410786619769,348.88871914883
"ADP.D.glucose",117.084877237828,236.230642824948,125.951016722903,134.644308083989,162.565885792067,174.188788398358,150.086420503994,983.955096095811,236.230642824948,236.230642824948,236.230642824948,236.230642824948,525.912616630155,252.867558174711,236.230642824948,187.255863942155,252.867558174711,162.565885792067,200.69215113618,322.492338994096,187.255863942155,125.951016722903,109.241082277615,117.084877237828,134.644308083989,162.565885792067,162.565885792067,150.086420503994,162.565885792067,125.951016722903,200.69215113618,277.892829838971,187.255863942155,103.410786619769,125.951016722903,322.492338994096,103.410786619769,134.644308083989,117.084877237828
"X3..4.hydroxyphenyl.lactate..3.4.Dihydroxyhydrocinnamic.acid.",6652.3398309936,8712.06926877734,6652.3398309936,8712.06926877734,10886.0360429411,6652.3398309936,9430.00164119668,8065.11048746998,4896.61939574187,8712.06926877734,7079.58776693451,7079.58776693451,10886.0360429411,8065.11048746998,8065.11048746998,5507.07366807565,7079.58776693451,9430.00164119668,7079.58776693451,7577.09311513265,8712.06926877734,9430.00164119668,9430.00164119668,6652.3398309936,8712.06926877734,9430.00164119668,5507.07366807565,8712.06926877734,9430.00164119668,8712.06926877734,8712.06926877734,8712.06926877734,5507.07366807565,9430.00164119668,7577.09311513265,5847.64156585588,6652.3398309936,9430.00164119668,8388.58987812366
"X3.Hydroxybenzoic.acid",17637.4280720504,21886.6339520533,20789.4122107519,38489.0675109872,19692.1904694505,15504.1726745899,19692.1904694505,19692.1904694505,10886.0360429411,19692.1904694505,15504.1726745899,19692.1904694505,19692.1904694505,17637.4280720504,17637.4280720504,17637.4280720504,15504.1726745899,21886.6339520533,15504.1726745899,19692.1904694505,21886.6339520533,21886.6339520533,19692.1904694505,17637.4280720504,19692.1904694505,18664.8092707505,15504.1726745899,21886.6339520533,21886.6339520533,19692.1904694505,17637.4280720504,21886.6339520533,13204.8354094822,19692.1904694505,17637.4280720504,17637.4280720504,19692.1904694505,21886.6339520533,19692.1904694505
"X4.vinylphenol.sulfate",403.98671612782,725.678310941164,348.88871914883,470.063165356097,403.98671612782,373.357194911502,502.219211253746,589.87960701722,403.98671612782,302.470356902806,525.912616630155,373.357194911502,555.132077065354,502.219211253746,589.87960701722,403.98671612782,525.912616630155,470.063165356097,433.603104775728,470.063165356097,403.98671612782,502.219211253746,502.219211253746,433.603104775728,470.063165356097,502.219211253746,470.063165356097,403.98671612782,470.063165356097,403.98671612782,373.357194911502,725.678310941164,470.063165356097,470.063165356097,433.603104775728,373.357194911502,525.912616630155,502.219211253746,502.219211253746
"Adenosine",187.255863942155,252.867558174711,302.470356902806,277.892829838971,236.230642824948,322.492338994096,252.867558174711,433.603104775728,221.997684539329,403.98671612782,373.357194911502,221.997684539329,322.492338994096,403.98671612782,403.98671612782,302.470356902806,322.492338994096,628.284256653045,525.912616630155,502.219211253746,725.678310941164,277.892829838971,252.867558174711,277.892829838971,433.603104775728,322.492338994096,322.492338994096,302.470356902806,373.357194911502,221.997684539329,433.603104775728,200.69215113618,236.230642824948,221.997684539329,302.470356902806,555.132077065354,236.230642824948,302.470356902806,322.492338994096
"X4.hydroxyphenylpyruvate",5847.64156585588,7079.58776693451,13204.8354094822,10886.0360429411,5208.57852055161,8065.11048746998,6181.84466573814,7079.58776693451,7577.09311513265,7577.09311513265,8712.06926877734,8712.06926877734,7577.09311513265,6014.74311579701,7577.09311513265,7577.09311513265,5357.82609431363,5507.07366807565,8065.11048746998,8065.11048746998,7577.09311513265,6865.96379896405,8065.11048746998,8065.11048746998,5677.35761696577,6181.84466573814,5847.64156585588,7328.34044103358,6181.84466573814,7577.09311513265,5507.07366807565,6652.3398309936,6652.3398309936,5507.07366807565,7079.58776693451,8065.11048746998,7079.58776693451,8388.58987812366,7328.34044103358
"X5.Hydroxytryptophan",53713.0468395163,38489.0675109872,71743.7477034219,53713.0468395163,64681.034752918,53713.0468395163,38489.0675109872,92425.0716323252,58886.777630979,46232.0452139311,56299.9122352476,71743.7477034219,71743.7477034219,82084.4096678736,46232.0452139311,92425.0716323252,53713.0468395163,61783.9061919485,92425.0716323252,92425.0716323252,92425.0716323252,46232.0452139311,71743.7477034219,58886.777630979,53713.0468395163,53713.0468395163,71743.7477034219,64681.034752918,53713.0468395163,58886.777630979,64681.034752918,71743.7477034219,64681.034752918,46232.0452139311,38489.0675109872,58886.777630979,46232.0452139311,71743.7477034219,64681.034752918
"Acetoacetyl.CoA",1855.64821616385,1441.77012893828,2088.3465518013,2088.3465518013,1855.64821616385,2648.7836519679,1855.64821616385,2375.54122287164,2375.54122287164,2375.54122287164,1531.45297739993,2375.54122287164,2088.3465518013,1855.64821616385,1311.61262796431,3996.91545837703,1855.64821616385,2648.7836519679,1441.77012893828,1695.31198527865,1855.64821616385,1531.45297739993,1695.31198527865,1311.61262796431,1695.31198527865,1441.77012893828,1855.64821616385,1695.31198527865,1441.77012893828,1311.61262796431,1531.45297739993,1131.9750081377,1531.45297739993,1855.64821616385,1206.53639893362,1311.61262796431,1206.53639893362,1311.61262796431,1441.77012893828
"Acetyl.phosphate",1048.10610201149,1048.10610201149,1131.9750081377,1048.10610201149,983.955096095811,983.955096095811,983.955096095811,1531.45297739993,1441.77012893828,1855.64821616385,1441.77012893828,1695.31198527865,1695.31198527865,1311.61262796431,1048.10610201149,1048.10610201149,983.955096095811,834.820868174203,1206.53639893362,1206.53639893362,834.820868174203,1441.77012893828,1531.45297739993,1531.45297739993,1531.45297739993,1531.45297739993,1441.77012893828,834.820868174203,834.820868174203,983.955096095811,773.053265818277,834.820868174203,897.003278044817,1311.61262796431,1131.9750081377,1131.9750081377,1441.77012893828,983.955096095811,1131.9750081377
"Alpha.N.Phenylacetyl.L.glutamine",83.4934159055613,150.086420503994,109.241082277615,150.086420503994,117.084877237828,134.644308083989,109.241082277615,174.188788398358,200.69215113618,221.997684539329,252.867558174711,252.867558174711,150.086420503994,134.644308083989,174.188788398358,134.644308083989,150.086420503994,150.086420503994,134.644308083989,117.084877237828,221.997684539329,117.084877237828,125.951016722903,134.644308083989,109.241082277615,134.644308083989,125.951016722903,109.241082277615,98.0695532546108,162.565885792067,117.084877237828,117.084877237828,125.951016722903,109.241082277615,103.410786619769,92.025377911753,117.084877237828,117.084877237828,134.644308083989
"alpha.ketoglutarate",9.36855293191519,19.8407528713402,11.4393203393605,9.36855293191519,17.2062924089171,11.4393203393605,17.2062924089171,17.2062924089171,13.4133753750081,13.4133753750081,11.4393203393605,17.2062924089171,23.0045325868943,19.8407528713402,19.8407528713402,11.4393203393605,27.1252294615218,11.4393203393605,9.36855293191519,7.35437167502222,9.36855293191519,23.0045325868943,27.1252294615218,13.4133753750081,19.8407528713402,19.8407528713402,27.1252294615218,19.8407528713402,19.8407528713402,23.0045325868943,15.4937090221724,15.4937090221724,9.36855293191519,19.8407528713402,13.4133753750081,3.92719630428404,17.2062924089171,19.8407528713402,9.36855293191519
